item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.salt                      -42.9836 0.008879 0.954608 -42.9213 -44.8757 -41.1851 15571.37 11560.31 NaN     
treeLikelihood.sand                      -72.1467 0.012404 1.247983 -72.0570 -74.5984 -69.8148 17782.45 10122.89 NaN     
treeLikelihood.say                       -125.134 0.013276 1.258011 -125.095 -127.659 -122.736 20047.80 8979.037 NaN     
treeLikelihood.see                       -79.6158 0.014219 1.350954 -79.6195 -82.3532 -76.8847 19940.73 9027.249 NaN     
treeLikelihood.seed                      -60.4553 0.009436 1.05234  -60.3841 -62.4893 -58.4040 14474.00 12436.77 NaN     
treeLikelihood.sharp_blade               -71.6965 0.009301 0.962306 -71.6186 -73.6546 -69.9355 16817.91 10703.46 NaN     
treeLikelihood.short                     -121.577 0.012411 1.14686  -121.510 -123.921 -119.444 21080.54 8539.151 NaN     
treeLikelihood.sing                      -108.633 0.011923 1.169461 -108.575 -110.995 -106.436 18709.92 9621.096 NaN     
treeLikelihood.sit_sit_down              -96.9910 0.010431 1.144538 -96.9339 -99.1762 -94.7384 14952.18 12039.04 NaN     
treeLikelihood.six                       -49.3656 0.01395  1.237097 -49.2375 -51.8295 -47.1400 22889.21 7864.403 NaN     
treeLikelihood.skin                      -94.2800 0.011237 1.126149 -94.2237 -96.4274 -92.0648 17922.89 10043.58 NaN     
treeLikelihood.sky                       -55.8978 0.01156  1.313038 -55.8470 -58.3259 -53.2938 13953.89 12900.34 NaN     
treeLikelihood.sleep                     -42.4833 0.010618 1.088552 -42.4029 -44.5713 -40.3949 17126.71 10510.48 NaN     
treeLikelihood.small                     -120.210 0.014508 1.318413 -120.146 -122.883 -117.786 21797.02 8258.468 NaN     
treeLikelihood.smoke                     -78.2239 0.009168 0.984651 -78.1569 -80.2329 -76.4118 15604.04 11536.11 NaN     
treeLikelihood.snake                     -80.8660 0.010178 1.119404 -80.8211 -83.0555 -78.7083 14882.51 12095.40 NaN     
treeLikelihood.snow                      -73.1628 0.010894 1.150861 -73.1428 -75.4450 -70.8621 16130.25 11159.77 NaN     
treeLikelihood.stand_up                  -58.3819 0.009633 1.029996 -58.3004 -60.4154 -56.4422 15746.45 11431.77 NaN     
treeLikelihood.star                      -84.5746 0.010764 1.179852 -84.5091 -86.9165 -82.3333 14981.48 12015.49 NaN     
treeLikelihood.stone_rock                -36.4318 0.008231 0.86378  -36.3780 -38.1609 -34.8606 16343.68 11014.04 NaN     
treeLikelihood.sun                       -67.9098 0.011987 1.155594 -67.8447 -70.1999 -65.7136 19369.16 9293.636 NaN     
treeLikelihood.swim                      -77.0331 0.011006 0.982302 -76.9526 -79.0016 -75.2133 22596.50 7966.276 NaN     
treeLikelihood.tail                      -26.8136 0.008061 0.70303  -26.7254 -28.1839 -25.6107 23663.94 7606.930 NaN     
treeLikelihood.that                      -158.109 0.013502 1.335864 -158.052 -160.717 -155.524 18389.47 9788.748 NaN     
treeLikelihood.this                      -129.634 0.013747 1.480417 -129.564 -132.535 -126.746 15522.65 11596.59 NaN     
treeLikelihood.three                     -9.13021 0.012774 0.6938   -9.03794 -10.4742 -7.91928 61020.49 2949.992 NaN     
treeLikelihood.tongue                    -32.3020 0.008345 0.812298 -32.2330 -33.8905 -30.8293 18999.73 9474.341 NaN     
treeLikelihood.tooth                     -11.1455 0.014352 0.640702 -11.0553 -12.4254 -10.0734 90328.50 1992.837 NaN     
treeLikelihood.tree                      -98.1124 0.012477 1.418772 -98.0246 -100.913 -95.4449 13922.70 12929.24 NaN     
treeLikelihood.two                       -30.1936 0.00877  0.790402 -30.1295 -31.7302 -28.7350 22159.72 8123.295 NaN     
treeLikelihood.vomit                     -93.4940 0.015936 1.343372 -93.4195 -96.1420 -90.8917 25330.28 7106.511 NaN     
treeLikelihood.walk                      -112.798 0.011133 1.216699 -112.733 -115.184 -110.410 15071.79 11943.50 NaN     
treeLikelihood.water                     -16.3718 0.010544 0.701097 -16.2888 -17.7419 -15.0819 40712.94 4421.443 NaN     
treeLikelihood.we                        -71.6504 0.00916  1.001281 -71.5964 -73.6215 -69.7782 15066.69 11947.53 NaN     
treeLikelihood.what                      -96.8573 0.011579 1.249587 -96.7911 -99.2776 -94.4061 15455.96 11646.63 NaN     
treeLikelihood.white                     -77.2098 0.01117  1.316574 -77.2175 -79.7291 -74.4378 12958.38 13891.38 NaN     
treeLikelihood.who                       -74.1052 0.017566 1.965618 -74.1333 -77.8817 -70.3427 14376.83 12520.83 NaN     
treeLikelihood.wind                      -56.7311 0.010325 1.145688 -56.6427 -59.0374 -54.6213 14619.01 12313.41 NaN     
treeLikelihood.woman                     -105.951 0.010607 0.944599 -105.869 -107.800 -104.164 22696.12 7931.311 NaN     
treeLikelihood.year                      -96.8049 0.009526 1.087716 -96.7443 -99.0119 -94.7363 13806.51 13038.04 NaN     
treeLikelihood.yellow                    -84.3065 0.011869 1.012506 -84.2267 -86.3532 -82.4628 24734.23 7277.766 NaN     
treeLikelihood.you_sing                  -69.6493 0.013957 1.113101 -69.5706 -71.8553 -67.5534 28300.64 6360.633 NaN     
mutationRate.s:all                       1.342448 0.007725 0.533014 1.278456 0.453465 2.410467 37807.68 4761.201 1.237622
mutationRate.s:arm                       0.62948  0.002172 0.194716 0.605881 0.274782 1.020194 22405.75 8034.095 0.600071
mutationRate.s:ash                       0.686844 0.00325  0.289564 0.635196 0.208965 1.250698 22676.87 7938.041 0.630551
mutationRate.s:bark                      0.560568 0.002694 0.227026 0.520342 0.174746 1.003333 25351.11 7100.675 0.51815 
mutationRate.s:belly                     1.280696 0.004437 0.408916 1.235872 0.531692 2.071377 21195.32 8492.908 1.216845
mutationRate.s:big                       0.764382 0.002681 0.23754  0.736673 0.343218 1.234814 22938.30 7847.570 0.728031
mutationRate.s:bird                      1.245724 0.006338 0.467829 1.197408 0.450394 2.160702 33038.06 5448.563 1.157567
mutationRate.s:bite                      0.106829 0.001188 0.077687 0.082389 0.014303 0.265984 42088.89 4276.899 0.084794
mutationRate.s:black                     0.705561 0.002791 0.257765 0.683371 0.255294 1.207399 21100.79 8530.957 0.657623
mutationRate.s:blood                     0.264738 0.001537 0.128681 0.237949 0.068923 0.517471 25668.71 7012.817 0.237584
mutationRate.s:bone                      0.273072 0.001607 0.144105 0.248766 0.05523  0.546069 22372.18 8046.152 0.236636
mutationRate.s:breast                    0.167634 0.001515 0.110506 0.136355 0.030439 0.391509 33841.33 5319.234 0.139279
mutationRate.s:burn                      0.884557 0.00368  0.31419  0.856365 0.306879 1.490241 24699.93 7287.874 0.828224
mutationRate.s:claw_nail                 0.235363 0.001507 0.128403 0.210374 0.051188 0.492895 24795.02 7259.923 0.203064
mutationRate.s:cloud                     1.637348 0.00672  0.515264 1.58522  0.711275 2.663657 30622.24 5878.407 1.557401
mutationRate.s:cold                      0.732826 0.003142 0.282147 0.70109  0.248696 1.274082 22319.29 8065.220 0.678652
mutationRate.s:come                      0.87963  0.004117 0.321832 0.847963 0.303725 1.505259 29457.51 6110.833 0.820329
mutationRate.s:die                       0.534139 0.002105 0.197975 0.509933 0.176682 0.912432 20359.29 8841.661 0.498443
mutationRate.s:dirty                     2.56004  0.01432  0.790224 2.458379 1.159245 4.168268 59115.71 3045.044 2.441375
mutationRate.s:dog                       0.751479 0.002705 0.265484 0.719649 0.274387 1.255953 18683.80 9634.545 0.705105
mutationRate.s:drink                     0.440552 0.002085 0.198782 0.400398 0.131608 0.836364 19812.22 9085.802 0.399357
mutationRate.s:dry                       0.196249 0.00153  0.122462 0.157715 0.039082 0.448677 28115.16 6402.595 0.165471
mutationRate.s:ear                       0.179006 0.001367 0.101543 0.156399 0.027589 0.383033 32643.17 5514.475 0.153428
mutationRate.s:earth                     0.43293  0.00242  0.188789 0.388382 0.161413 0.823167 29568.42 6087.912 0.397882
mutationRate.s:eat                       0.374029 0.001929 0.16636  0.35342  0.086644 0.687683 24199.73 7438.510 0.337238
mutationRate.s:egg                       0.556516 0.002586 0.234747 0.513159 0.178233 1.029419 21845.37 8240.187 0.510077
mutationRate.s:eye                       0.166875 0.00141  0.106396 0.135024 0.030032 0.383671 31621.23 5692.693 0.139068
mutationRate.s:feather                   0.908008 0.003342 0.298203 0.881203 0.378943 1.489352 22604.77 7963.363 0.858997
mutationRate.s:fire                      0.477393 0.002184 0.209087 0.442254 0.141123 0.893524 19636.06 9167.315 0.434216
mutationRate.s:fish                      0.280465 0.001636 0.137396 0.248462 0.077811 0.563813 25518.35 7054.139 0.253284
mutationRate.s:five                      0.680336 0.003069 0.284009 0.634091 0.195768 1.232622 21017.27 8564.860 0.622761
mutationRate.s:fly                       0.655799 0.003043 0.276219 0.610198 0.22145  1.220785 21843.58 8240.862 0.602267
mutationRate.s:foot                      0.89584  0.003814 0.330969 0.846161 0.349853 1.549311 23904.36 7530.425 0.837953
mutationRate.s:four                      0.551629 0.002356 0.210997 0.51385  0.217707 0.990318 22439.59 8021.981 0.51457 
mutationRate.s:full                      2.57041  0.015253 0.817502 2.485344 1.09925  4.238116 62668.79 2872.402 2.441461
mutationRate.s:give                      0.585754 0.002101 0.189263 0.567988 0.231314 0.956602 22175.51 8117.511 0.555179
mutationRate.s:good                      1.893796 0.009644 0.609986 1.820016 0.790683 3.116377 44998.20 4000.381 1.798698
mutationRate.s:grease_fat                0.505598 0.002529 0.229514 0.472932 0.134318 0.946636 21863.75 8233.260 0.454506
mutationRate.s:green                     1.377427 0.006223 0.476549 1.324289 0.547536 2.317796 30698.05 5863.889 1.295147
mutationRate.s:hair                      1.062442 0.003644 0.331015 1.048187 0.409456 1.669804 21820.83 8249.454 1.008998
mutationRate.s:hand                      0.17111  0.001347 0.102859 0.143432 0.031232 0.378938 30856.66 5833.747 0.145824
mutationRate.s:head                      0.494881 0.002671 0.224473 0.453218 0.13865  0.945982 25481.34 7064.382 0.448952
mutationRate.s:hear                      0.331008 0.001862 0.167096 0.28918  0.089903 0.673235 22360.84 8050.231 0.294955
mutationRate.s:heart                     0.702402 0.002905 0.267323 0.650799 0.264909 1.233705 21256.07 8468.638 0.655684
mutationRate.s:heavy                     0.223759 0.001387 0.116784 0.201787 0.045118 0.455907 25385.34 7091.098 0.195511
mutationRate.s:horn                      0.16874  0.001343 0.107746 0.139033 0.026782 0.382019 27959.04 6438.345 0.140551
mutationRate.s:hot                       1.156932 0.003597 0.3308   1.128185 0.53622  1.796287 21284.81 8457.204 1.109326
mutationRate.s:i                         0.082955 0.000955 0.061737 0.062776 0.008136 0.207512 43032.63 4183.104 0.065989
mutationRate.s:kill                      0.209358 0.001487 0.123215 0.174618 0.049532 0.472952 26214.21 6866.884 0.17864 
mutationRate.s:knee                      0.519481 0.002562 0.235601 0.486512 0.135679 0.972628 21282.15 8458.258 0.467376
mutationRate.s:know                      0.488114 0.002356 0.213815 0.456356 0.129662 0.9029   21847.68 8239.318 0.442697
mutationRate.s:leaf                      0.660403 0.003188 0.257834 0.621382 0.21845  1.18114  27526.98 6539.401 0.611869
mutationRate.s:lie                       0.420088 0.00226  0.202574 0.381532 0.111766 0.8262   22405.11 8034.325 0.37513 
mutationRate.s:liver                     0.170852 0.001458 0.11087  0.140304 0.029352 0.391452 31150.27 5778.761 0.142984
mutationRate.s:long                      0.800034 0.003243 0.293022 0.759459 0.305884 1.370614 22053.96 8162.252 0.748553
mutationRate.s:louse                     0.468294 0.001933 0.174144 0.447442 0.140759 0.803558 22185.71 8113.780 0.435979
mutationRate.s:man                       0.853238 0.004037 0.339357 0.802232 0.289598 1.544387 25471.84 7067.018 0.788599
mutationRate.s:many                      0.781273 0.003363 0.306731 0.74179  0.257278 1.378847 21643.59 8317.011 0.722652
mutationRate.s:meat                      0.975192 0.003503 0.323352 0.946542 0.402876 1.597444 21124.57 8521.355 0.921738
mutationRate.s:moon                      0.050571 0.00086  0.043925 0.037197 0.004854 0.141075 68986.26 2609.359 0.038309
mutationRate.s:mountain                  0.771758 0.002825 0.251182 0.748591 0.300127 1.273155 22766.96 7906.632 0.730709
mutationRate.s:mouth                     0.418227 0.002028 0.184539 0.392745 0.105066 0.770501 21747.02 8277.452 0.378477
mutationRate.s:name                      0.169469 0.001347 0.103241 0.141874 0.02913  0.375715 30636.14 5875.740 0.143423
mutationRate.s:navel_bellybutton         0.978074 0.003908 0.325982 0.945963 0.386153 1.633165 25871.68 6957.798 0.923009
mutationRate.s:neck                      0.588839 0.002577 0.231197 0.548425 0.218993 1.071838 22356.04 8051.960 0.546402
mutationRate.s:new                       1.027259 0.004503 0.373856 0.994915 0.352913 1.722025 26114.91 6892.995 0.957993
mutationRate.s:night                     0.254391 0.001755 0.148309 0.213007 0.052324 0.551732 25199.61 7143.364 0.216912
mutationRate.s:no_not                    0.550993 0.002459 0.210512 0.533113 0.158336 0.961777 24556.28 7330.506 0.509161
mutationRate.s:nose                      0.350359 0.001836 0.174382 0.309571 0.089502 0.703018 19945.08 9025.281 0.312214
mutationRate.s:old                       1.884729 0.010046 0.601972 1.830727 0.795871 3.079442 50135.43 3590.474 1.787442
mutationRate.s:one                       0.408221 0.002222 0.199267 0.375982 0.096119 0.791084 22373.76 8045.584 0.361531
mutationRate.s:path_road                 0.135143 0.001164 0.079245 0.118027 0.021707 0.294468 38816.73 4637.433 0.115235
mutationRate.s:person                    0.442906 0.002531 0.206412 0.408292 0.115598 0.846624 27069.23 6649.985 0.397698
mutationRate.s:rain                      1.152326 0.004227 0.356916 1.130315 0.484255 1.847721 25250.77 7128.889 1.095254
mutationRate.s:red                       1.080617 0.005243 0.403474 1.024074 0.388285 1.86712  30393.31 5922.684 1.007384
mutationRate.s:root                      0.455652 0.002022 0.192778 0.422569 0.144205 0.832638 19810.00 9086.820 0.417701
mutationRate.s:rope                      1.686215 0.008179 0.525199 1.641265 0.736547 2.727738 43658.99 4123.091 1.604293
mutationRate.s:round                     2.399687 0.009899 0.623963 2.332117 1.245547 3.571632 45307.95 3973.032 2.323376
mutationRate.s:salt                      0.311292 0.001716 0.154264 0.291266 0.065161 0.60964  22280.21 8079.365 0.273026
mutationRate.s:sand                      0.683284 0.002679 0.256446 0.658565 0.208783 1.167052 19649.73 9160.939 0.634302
mutationRate.s:say                       1.440957 0.006044 0.466493 1.40206  0.586031 2.353307 30218.45 5956.954 1.365292
mutationRate.s:see                       0.552463 0.002394 0.215572 0.511758 0.211091 0.999418 22201.02 8108.182 0.51421 
mutationRate.s:seed                      0.464623 0.002205 0.20572  0.431415 0.126388 0.870629 20680.64 8704.275 0.420502
mutationRate.s:sharp_blade               0.90768  0.004531 0.393534 0.845283 0.256611 1.67846  23858.48 7544.905 0.826426
mutationRate.s:short                     2.383334 0.011893 0.730929 2.278331 1.122423 3.837501 47661.26 3776.861 2.278129
mutationRate.s:sing                      1.36819  0.004722 0.38434  1.333096 0.675931 2.139622 27170.59 6625.176 1.314871
mutationRate.s:sit_sit_down              0.877516 0.003134 0.281446 0.848159 0.378163 1.435457 22318.66 8065.448 0.832928
mutationRate.s:six                       0.298969 0.00193  0.167692 0.258637 0.058127 0.635812 23836.38 7551.901 0.258007
mutationRate.s:skin                      0.88899  0.003668 0.313398 0.843279 0.348508 1.502254 24655.93 7300.877 0.836677
mutationRate.s:sky                       0.376824 0.002038 0.173381 0.347271 0.105037 0.727258 24878.80 7235.476 0.339341
mutationRate.s:sleep                     0.194545 0.001362 0.110516 0.167436 0.03677  0.410774 27343.48 6583.286 0.168064
mutationRate.s:small                     1.803958 0.00595  0.45783  1.765794 1.014109 2.768972 30399.92 5921.396 1.746641
mutationRate.s:smoke                     0.707661 0.003074 0.275272 0.657133 0.268889 1.264796 22442.13 8021.074 0.657803
mutationRate.s:snake                     0.782984 0.003413 0.317336 0.749377 0.250352 1.392456 20820.99 8645.600 0.718322
mutationRate.s:snow                      0.632859 0.00251  0.239995 0.594368 0.235041 1.116338 19686.82 9143.678 0.589776
mutationRate.s:stand_up                  0.474951 0.001993 0.187542 0.448099 0.157906 0.845057 20328.29 8855.143 0.439607
mutationRate.s:star                      0.617143 0.002685 0.228898 0.59294  0.211755 1.067615 24761.13 7269.860 0.574906
mutationRate.s:stone_rock                0.209577 0.001605 0.128335 0.175137 0.039736 0.467265 28151.62 6394.302 0.176214
mutationRate.s:sun                       0.58302  0.002187 0.206828 0.545006 0.246434 0.998026 20132.08 8941.449 0.550071
mutationRate.s:swim                      1.808628 0.012399 0.736748 1.707107 0.55954  3.218902 50981.01 3530.922 1.668354
mutationRate.s:tail                      0.190886 0.001455 0.11978  0.158172 0.029273 0.431028 26543.29 6781.751 0.159235
mutationRate.s:that                      1.93437  0.007126 0.495429 1.904958 0.982371 2.911959 37246.14 4832.983 1.86955 
mutationRate.s:this                      1.463186 0.003751 0.32815  1.440733 0.84271  2.11722  23526.57 7651.347 1.426323
mutationRate.s:three                     0.046545 0.000842 0.045016 0.031856 0.001613 0.140401 62976.65 2858.360 0.032858
mutationRate.s:tongue                    0.213146 0.001521 0.1323   0.176479 0.03455  0.480226 23806.41 7561.408 0.178917
mutationRate.s:tooth                     0.052895 0.000889 0.047156 0.036944 0.003748 0.147173 63992.79 2812.972 0.039863
mutationRate.s:tree                      1.185814 0.003922 0.32424  1.167862 0.574931 1.837941 26337.31 6834.789 1.140169
mutationRate.s:two                       0.148246 0.001257 0.096858 0.120852 0.022557 0.344041 30307.92 5939.370 0.122643
mutationRate.s:vomit                     1.335199 0.004866 0.391035 1.307684 0.567448 2.09738  27876.94 6457.308 1.276602
mutationRate.s:walk                      1.261695 0.004262 0.369567 1.235952 0.575723 1.98181  23937.47 7520.007 1.206608
mutationRate.s:water                     0.085809 0.001011 0.064436 0.066088 0.01096  0.220542 44290.68 4064.285 0.067666
mutationRate.s:we                        0.598027 0.002615 0.255281 0.569885 0.162715 1.078508 18895.21 9526.751 0.543178
mutationRate.s:what                      1.299603 0.004156 0.376875 1.273679 0.593904 2.026921 21890.28 8223.284 1.244294
